Precision,Recall,F-Measure,MAP
0.2,0.4,0.26666666666666666,0.8333333333333333
0.1,0.5,0.16666666666666669,0.2
0.1,0.5,0.16666666666666669,0.2
0.1,1.0,0.18181818181818182,1.0
0.2,0.09523809523809523,0.12903225806451613,0.45
0.5,0.23809523809523808,0.3225806451612903,0.8444444444444444
0.2,0.13333333333333333,0.16,0.20833333333333331
0.7,0.3333333333333333,0.45161290322580644,0.936734693877551
0.3,0.5,0.37499999999999994,0.6095238095238095
0.3,1.0,0.4615384615384615,0.7555555555555555
0.4,0.6666666666666666,0.5,0.7152777777777777
0.5,0.8333333333333334,0.625,0.9666666666666666
0.2,0.3333333333333333,0.25,1.0
0.2,1.0,0.33333333333333337,1.0
0.1,1.0,0.18181818181818182,1.0
0.1,1.0,0.18181818181818182,1.0
0.4,0.5,0.4444444444444445,0.7678571428571428
0.3,1.0,0.4615384615384615,0.7555555555555555
0.1,0.3333333333333333,0.15384615384615383,0.5
0.4,1.0,0.5714285714285715,0.6916666666666667
0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
0.4,0.5714285714285714,0.47058823529411764,0.5404761904761904
0.4,0.4,0.4000000000000001,0.8541666666666666
0.6,0.35294117647058826,0.4444444444444445,0.762037037037037
0.5,0.23809523809523808,0.3225806451612903,0.5088888888888888
0.4,0.5,0.4444444444444445,0.625
0.3,0.2727272727272727,0.28571428571428564,0.8095238095238094
0.3,0.5,0.37499999999999994,0.6428571428571429
0.5,1.0,0.6666666666666666,1.0
0.0,0.0,NaN,0.0
0.5,0.5555555555555556,0.5263157894736842,0.7311111111111112
0.2,0.2222222222222222,0.2105263157894737,0.5833333333333333
0.2,1.0,0.33333333333333337,0.41666666666666663
0.7,0.7,0.7,0.9379251700680271
0.2,0.6666666666666666,0.30769230769230765,1.0
0.3,0.3,0.3,0.6388888888888888
0.8,0.4,0.5333333333333333,0.7260912698412698
0.3,0.25,0.2727272727272727,0.5555555555555555
0.4,0.6666666666666666,0.5,0.95
0.5,0.4166666666666667,0.45454545454545453,0.5533333333333333
0.5,0.7142857142857143,0.588235294117647,0.7
0.1,0.16666666666666666,0.125,0.5
0.0,0.0,NaN,0.0
0.3,0.25,0.2727272727272727,0.5277777777777778
0.4,0.8,0.5333333333333333,0.95
0.2,1.0,0.33333333333333337,0.375
0.2,0.5,0.28571428571428575,0.5
